No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
5,Michael Palardy\PalaMi00,26,P,6,0,200,5-11,Tennessee,7/6/1992,4,,,$630000
25,Damian Parms\ParmDa01,26,S,,,210,6-2,Florida Atlantic,10/28/1992,Rook,,,$363000
90,Julius Peppers\PeppJu99,38,DE,6,3,295,6-7,North Carolina,1/18/1980,16,,Carolina Panthers / 1st / 2nd pick / 2002,$2250000
95,Dontari Poe\PoexDo00,28,DT,6,6,346,6-3,Memphis,8/18/1990,6,,Kansas City Chiefs / 1st / 11th pick / 2012,$800000
25,Eric Reid\ReidEr00,27,FS,3,3,215,6-1,LSU,12/10/1991,5,,San Francisco 49ers / 1st / 18th pick / 2013,$823529
10,Curtis Samuel\SamuCu00,22,WR,3,0,195,5-11,Ohio St.,8/11/1996,1,,Carolina Panthers / 2nd / 40th pick / 2017,$758349
21,Da'Norris Searcy\SearDa00,30,DB,2,2,205,5-11,North Carolina,11/16/1988,7,,Buffalo Bills / 4th / 100th pick / 2011,$1000000
27,Kevon Seymour\SeymKe00,25,CB,,,185,6-0,USC,11/30/1993,2,,Buffalo Bills / 6th / 218th pick / 2016,$393000
99,Kawann Short\ShorKa00,29,DT,6,6,315,6-3,Purdue,2/2/1989,5,,Carolina Panthers / 2nd / 44th pick / 2013,$12500000
65,Amini Silatolu\SilaAm00,30,T,5,0,305,6-4,Midwestern St.,9/16/1988,6,,Carolina Panthers / 2nd / 40th pick / 2012,$790000
57,Andre Smith\SmitAn04,21,ILB,1,0,240,6-0,North Carolina,4/20/1997,Rook,,Carolina Panthers / 7th / 234th pick / 2018,$480000
11,Torrey Smith\SmitTo02,29,WR,6,5,205,6-0,Maryland,1/26/1989,7,,Baltimore Ravens / 2nd / 58th pick / 2011,$5000000
80,Ian Thomas\ThomIa00,22,TE,6,3,260,6-3,Indiana,6/6/1996,Rook,,Carolina Panthers / 4th / 101st pick / 2018,$480000
54,Shaq Thompson\ThomSh01,24,OLB,6,6,230,6-0,Washington,4/21/1994,3,,Carolina Panthers / 1st / 25th pick / 2015,$936000
70,Trai Turner\TurnTr01,25,OG,4,4,315,6-3,LSU,6/14/1993,4,,Carolina Panthers / 3rd / 92nd pick / 2014,$4703000
73,Greg Van Roten\VanRGr00,28,G,6,6,305,6-3,Pennsylvanua,2/26/1990,6,,,$705000
43,Fozzy Whittaker\WhitFo00,29,RB,,,205,5-10,Texas,2/2/1989,6,,,$1100000
60,Daryl Williams\WillDa06,26,OT,1,1,330,6-6,Oklahoma,8/31/1992,3,,Carolina Panthers / 4th / 102nd pick / 2015,$1907000
13,Jarius Wright\WrigJa02,29,WR,6,4,190,5-10,Arkansas,11/25/1989,6,,Minnesota Vikings / 4th / 118th pick / 2012,$800000
,Team Total,27.2,,6,,249.1,6-1.7,,,4.5,,,
