No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
6,Chris Jones\JoneCh02,29,P,7,0,205,6-0,Carson-Newman,7/21/1989,7,,,$1200000
56,Datone Jones\JoneDa03,28,DE,1,0,288,6-5,UCLA,7/24/1990,5,,Green Bay Packers / 1st / 26th pick / 2013,$790000
91,L.P. Ladouceur\LadoL.20,37,LS,7,0,256,6-5,California,3/13/1981,13,,,$1015000
90,Demarcus Lawrence\LawrDe00,26,DE,7,6,265,6-3,Boise St.,4/28/1992,4,,Dallas Cowboys / 2nd / 34th pick / 2014,$17143000
50,Sean Lee\LeexSe99,32,LB,4,4,245,6-2,Penn St.,7/22/1986,8,,Dallas Cowboys / 2nd / 55th pick / 2010,$7000000
27,Jourdan Lewis\LewiJo01,23,CB,6,0,195,5-10,Michigan,8/31/1995,1,,Dallas Cowboys / 3rd / 92nd pick / 2017,$5800000
73,Joe Looney\LoonJo01,28,G,7,7,315,6-3,Wake Forest,8/31/1990,6,,San Francisco 49ers / 4th / 117th pick / 2012,$850000
2,Brett Maher\MaheBr01,29,K,7,0,183,6-1,Nebraska,11/21/1989,Rook,,,$480000
53,Justin March-Lillard\MarcJu00,25,LB,7,0,222,6-0,Akron,7/5/1993,2,,,$630000
60,Marcus Martin\MartMa01,25,C,,,310,6-3,USC,11/29/1993,4,,San Francisco 49ers / 3rd / 70th pick / 2014,$790000
70,Zack Martin\MartZa00,28,OT,7,7,315,6-4,Notre Dame,11/20/1990,4,,Dallas Cowboys / 1st / 16th pick / 2014,$2000000
49,Jamize Olawale\OlawJa00,29,FB,7,3,240,6-1,North Texas,4/17/1989,6,,,$1540000
4,Dak Prescott\PresDa01,25,QB,7,7,238,6-2,Mississippi St.,7/29/1993,2,,Dallas Cowboys / 4th / 135th pick / 2016,$630000
61,Adam Redmond\RedmAd00,25,G,2,0,300,6-6,Harvard,5/19/1993,1,,,$480000
51,Caraun Reid\ReidCa00,27,DT,2,0,305,6-2,Princeton,11/23/1991,4,,Detroit Lions / 5th / 158th pick / 2014,$650594
68,Daniel Ross\RossDa02,25,DT,6,0,305,6-3,,3/15/1993,1,,,$555000
7,Cooper Rush\RushCo00,25,QB,1,0,225,6-3,Central Michigan,11/21/1993,1,,,$555000
86,Dalton Schultz\SchuDa00,22,TE,2,0,244,6-5,Stanford,7/11/1996,Rook,,Dallas Cowboys / 4th / 137th pick / 2018,$480000
28,Jameill Showers\ShowJa01,27,QB,,,222,6-2,Texas-El Paso,9/6/1991,Rook,,,$363000
54,Jaylon Smith\SmitJa05,23,OLB,7,7,245,6-2,Notre Dame,6/14/1995,1,,Dallas Cowboys / 2nd / 34th pick / 2016,$1040452
45,Rod Smith\SmitRo06,26,RB,7,0,235,6-3,Ohio St.,1/10/1992,3,,,$705000
77,Tyron Smith\SmitTy00,28,OT,7,7,320,6-5,USC,12/12/1990,7,,Dallas Cowboys / 1st / 9th pick / 2011,$10000000
76,Xavier Su'a-Filo\Sua-Xa00,27,OG,,,310,6-4,UCLA,1/1/1991,4,,Houston Texans / 2nd / 33rd pick / 2014,$743529
87,Geoff Swaim\SwaiGe00,25,TE,7,7,260,6-4,Texas,9/16/1993,3,,Dallas Cowboys / 7th / 246th pick / 2015,$705000
48,Joe Thomas\ThomJo04,27,LB,5,0,232,6-1,South Carolina St.,5/6/1991,4,,,$900000
20,Darian Thompson\ThomDa05,25,FS,2,0,211,6-2,Boise St.,9/22/1993,2,,New York Giants / 3rd / 71st pick / 2016,$497647
15,Deonte Thompson\ThomDe04,29,WR,7,4,205,6-0,Florida,2/14/1989,6,,,$790000
55,Leighton Vander Esch\VandLe00,21,OLB,7,3,256,6-4,Boise St.,2/9/1997,Rook,,Dallas Cowboys / 1st / 19th pick / 2018,$480000
3,Mike White\WhitMi01,23,QB,,,224,6-4,South FloridaWest. Kentucky,3/25/1995,Rook,,Dallas Cowboys / 5th / 171st pick / 2018,$480000
52,Connor Williams\WillCo00,21,OT,7,7,298,6-5,Texas,5/12/1997,Rook,,Dallas Cowboys / 2nd / 50th pick / 2018,$480000
83,Terrance Williams\WillTe01,29,WR,3,2,210,6-2,Baylor,9/18/1989,5,,Dallas Cowboys / 3rd / 74th pick / 2013,$3500000
16,Cedrick Wilson\WilsCe01,23,WR,,,188,6-5,Boise St.,11/20/1995,Rook,,Dallas Cowboys / 6th / 208th pick / 2018,$363000
57,Damien Wilson\WilsDa02,25,ILB,7,3,245,6-1,Minnesota,5/28/1993,3,,Dallas Cowboys / 4th / 127th pick / 2015,$705000
64,Antwaun Woods\WoodAn02,25,NT,7,7,318,6-1,USC,1/3/1993,2,,,$480000
25,Xavier Woods\WoodXa00,23,SS,5,5,202,5-11,Louisiana Tech,7/26/1995,1,,Dallas Cowboys / 6th / 191st pick / 2017,$555000
,Team Total,25.8,,7,,246.6,6-2.3,,,3.1,,,
