No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
13,Rashad Greene\GreeRa00,26,WR,1,0,186,5-11,Florida St.,9/23/1992,3,,Jacksonville Jaguars / 5th / 139th pick / 2015,$705000
86,David Grinnage\GrinDa00,24,TE,2,1,265,6-5,North Carolina St.,2/24/1994,Rook,,,$129200
36,Ronnie Harrison\HarrRo02,21,SS,7,4,214,6-3,Alabama,4/18/1997,Rook,,Jacksonville Jaguars / 3rd / 93rd pick / 2018,$480000
25,D.J. Hayden\HaydDJ00,28,CB,2,0,190,5-11,Houston,6/27/1990,5,,Oakland Raiders / 1st / 12th pick / 2013,$2250000
41,Tre Herndon\HernTr00,22,CB,4,0,185,5-11,,3/5/1996,Rook,,,$480000
67,Michael Hughes\HughMi01,22,DT,,,308,6-2,,4/3/1996,Rook,,,$363000
34,Carlos Hyde\HydeCa00,28,RB,,,229,6-0,Ohio St.,9/20/1990,4,,San Francisco 49ers / 2nd / 57th pick / 2014,$1500000
44,Myles Jack\JackMy00,23,OLB,7,7,244,6-1,UCLA,9/3/1995,2,,Jacksonville Jaguars / 2nd / 36th pick / 2016,$1025858
97,Malik Jackson\JackMa02,28,DT,7,7,290,6-5,Tennessee,1/11/1990,6,,Denver Broncos / 5th / 137th pick / 2012,$13500000
48,Leon Jacobs\JacoLe00,23,OLB,6,2,245,6-2,Wisconsin,10/3/1995,Rook,,Jacksonville Jaguars / 7th / 230th pick / 2018,$480000
95,Abry Jones\JoneAb00,27,DT,7,0,318,6-4,Georgia,9/8/1991,5,,,$3000000
6,Cody Kessler\KessCo00,25,QB,1,0,215,6-1,USC,5/11/1993,2,,Cleveland Browns / 3rd / 93rd pick / 2016,$758098
4,Josh Lambo\LambJo00,28,K,7,0,215,6-0,Texas A&M,11/19/1990,3,,,$705000
11,Marqise Lee\LeexMa00,27,WR,,,196,6-0,USC,11/25/1991,4,,Jacksonville Jaguars / 2nd / 39th pick / 2014,$2250000
65,Brandon Linder\LindBr00,26,OG,7,7,315,6-6,Miami (FL),1/25/1992,4,,Jacksonville Jaguars / 3rd / 93rd pick / 2014,$9000000
55,Lerentee McCray\McCrLe01,28,LB,7,0,249,6-3,Florida,8/26/1990,5,,,$1500000
43,Quenton Meeks\MeekQu00,22,CB,3,0,209,6-1,Stanford,6/20/1996,Rook,,,$129200
85,Jaydon Mickens\MickJa01,24,WR,6,0,175,5-10,Washington,4/21/1994,1,,,$555000
10,Donte Moncrief\MoncDo00,25,WR,7,7,220,6-2,Mississippi,8/6/1993,4,,Indianapolis Colts / 3rd / 90th pick / 2014,$5600000
91,Yannick Ngakoue\NgakYa00,23,DE,7,7,246,6-2,Maryland,3/31/1995,2,,Jacksonville Jaguars / 3rd / 69th pick / 2016,$735101
68,Andrew Norwell\NorwAn01,27,G,7,7,325,6-6,Ohio St.,10/25/1991,4,,,$2000000
80,James O'Shaughnessy\O'ShJa00,26,TE,6,2,245,6-4,Illinois St.,1/14/1992,3,,Kansas City Chiefs / 5th / 173rd pick / 2015,$705000
45,Matt Overton\OverMa00,33,LS,2,0,243,6-1,West. Washington,7/6/1985,6,,,$557647
78,Jermey Parnell\ParnJe00,32,T,7,7,326,6-6,Mississippi,7/20/1986,7,,,$4000000
23,Tyler Patmon\PatmTy00,27,CB,7,1,188,5-10,Oklahoma St.,1/26/1991,4,,,$705000
81,Niles Paul\PaulNi00,29,WR,6,1,242,6-1,Nebraska,8/9/1989,7,,Washington Redskins / 5th / 155th pick / 2011,$1500000
52,Donald Payne\PaynDo00,24,LB,7,0,217,5-11,,7/12/1994,1,,,$555000
20,Jalen Ramsey\RamsJa00,24,CB,7,7,208,6-1,Florida St.,10/24/1994,2,,Jacksonville Jaguars / 1st / 5th pick / 2016,$2572818
64,Chris Reed\ReedCh00,26,G,1,1,310,6-5,Minnesota St.,7/22/1992,2,,,$630000
76,Will Richardson\RichWi01,22,OT,,,303,6-6,North Carolina St.,1/4/1996,Rook,,Jacksonville Jaguars / 4th / 129th pick / 2018,$480000
74,Cam Robinson\RobiCa00,23,OT,2,2,320,6-6,Alabama,10/9/1995,1,,Jacksonville Jaguars / 2nd / 34th pick / 2017,$784007
88,Austin Seferian-Jenkins\SefeAu00,26,TE,5,5,262,6-5,Washington,9/29/1992,4,,Tampa Bay Buccaneers / 2nd / 38th pick / 2014,$790000
69,Tyler Shatley\ShatTy00,27,OG,7,0,310,6-3,Clemson,5/5/1991,4,,,$790000
50,Telvin Smith\SmitTe01,27,ILB,7,7,215,6-3,Florida St.,4/11/1991,4,,Jacksonville Jaguars / 5th / 144th pick / 2014,$3000000
94,Dawuane Smoot\SmooDa00,23,DE,,,264,6-3,Illinois,3/2/1995,1,,Jacksonville Jaguars / 3rd / 68th pick / 2017,$640250
46,Carson Tinker\TinkCa00,29,LS,5,0,237,6-0,Alabama,11/15/1989,5,,,$800000
73,Josh Walker\WalkJo00,27,G,3,2,330,6-5,Middle Tenn. St.,6/2/1991,4,,,$705000
72,Josh Wells\WellJo02,27,T,5,3,306,6-6,James Madison,2/14/1991,4,,,$705000
12,Dede Westbrook\WestDe00,25,WR,7,2,178,6-0,Oklahoma,11/21/1993,1,,Jacksonville Jaguars / 4th / 110th pick / 2017,$555000
33,David Williams\WillDa011,24,RB,1,0,229,6-1,,6/17/1994,Rook,,,$338824
26,Jarrod Wilson\WilsJa00,24,S,7,0,210,6-2,Michigan,2/9/1994,2,,,$630000
24,T.J. Yeldon\YeldT.00,25,RB,7,4,223,6-1,Alabama,10/2/1993,3,,Jacksonville Jaguars / 2nd / 36th pick / 2015,$1241421
,Team Total,26.0,,7,,242.9,6-2.2,,,3.4,,,
