No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
56,Hardy Nickerson\NickHa02,24,ILB,7,2,235,6-0,IllinoisCalifornia,1/5/1994,1,,,$555000
70,Cedric Ogbuehi\OgbuCe00,26,OT,1,0,308,6-5,Texas A&M,4/25/1992,3,,Cincinnati Bengals / 1st / 21st pick / 2015,$1706684
23,Darius Phillips\PhilDa02,23,CB,6,0,190,5-10,West. Michigan,6/26/1995,Rook,,Cincinnati Bengals / 5th / 170th pick / 2018,$480000
53,Billy Price\PricBi01,24,C,2,2,308,6-4,Ohio St.,10/11/1994,Rook,,Cincinnati Bengals / 1st / 21st pick / 2018,$480000
62,Alex Redmond\RedmAl01,23,G,7,7,310,6-5,UCLA,1/18/1995,1,,,$555000
57,Vincent Rey\ReyxVi00,31,LB,7,0,240,6-0,Duke,9/6/1987,8,,,$2250000
15,John Ross\RossJo00,24,WR,5,3,190,5-11,Washington,11/27/1994,1,,Cincinnati Bengals / 1st / 9th pick / 2017,$1242994
20,KeiVarae Russell\RussKe00,25,CB,1,0,196,5-11,Notre Dame,10/19/1993,2,,Kansas City Chiefs / 3rd / 74th pick / 2016,$129200
86,Mason Schreck\SchrMa00,25,TE,6,0,252,6-5,Buffalo,11/4/1993,Rook,,Cincinnati Bengals / 7th / 251st pick / 2017,$480000
64,Rod Taylor\TaylRo01,24,G,,,320,6-3,Mississippi,10/26/1994,Rook,,Cincinnati Bengals / 7th / 252nd pick / 2018,$363000
91,Josh Tupou\TupoJo00,24,DT,3,0,345,6-3,Colorado,5/2/1994,1,,,$555000
87,C.J. Uzomah\UzomC.00,25,TE,7,6,265,6-6,Auburn,1/14/1993,3,,Cincinnati Bengals / 5th / 157th pick / 2015,$705000
59,Nick Vigil\VigiNi00,25,ILB,6,5,240,6-2,Utah St.,8/20/1993,2,,Cincinnati Bengals / 3rd / 87th pick / 2016,$630000
32,Mark Walton\WaltMa00,21,RB,5,0,202,5-10,Miami (FL),3/29/1997,Rook,,Cincinnati Bengals / 4th / 112th pick / 2018,$480000
92,Adolphus Washington\WashAd00,24,DT,2,0,295,6-4,Ohio St.,11/24/1994,2,,Buffalo Bills / 3rd / 80th pick / 2016,$518824
63,Christian Westerman\WestCh02,25,OG,5,0,305,6-3,Arizona St.,2/23/1993,1,,Cincinnati Bengals / 5th / 161st pick / 2016,$630000
36,Shawn Williams\WillSh02,27,SS,7,7,212,6-0,Georgia,5/13/1991,5,,Cincinnati Bengals / 3rd / 84th pick / 2013,$3200000
75,Jordan Willis\WillJo09,23,DE,7,1,275,6-4,Kansas St.,5/2/1995,1,,Cincinnati Bengals / 3rd / 73rd pick / 2017,$628000
40,Brandon Wilson\WilsBr01,24,CB,7,0,200,5-10,Houston,7/27/1994,1,,Cincinnati Bengals / 6th / 207th pick / 2017,$555000
,Team Total,25.8,,7,,247.9,6-2.2,,,3.0,,,
