No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
21,Mike Hughes\HughMi00,21,CB,6,2,191,5-11,North CarolinaCentral Florida,2/11/1997,Rook,,Minnesota Vikings / 1st / 30th pick / 2018,$480000
99,Danielle Hunter\HuntDa01,24,DE,7,7,252,6-5,LSU,10/29/1994,3,,Minnesota Vikings / 3rd / 88th pick / 2015,$1907000
23,George Iloka\IlokGe00,28,FS,7,2,225,6-4,Boise St.,3/31/1990,6,,Cincinnati Bengals / 5th / 167th pick / 2012,$790000
63,Danny Isidora\IsidDa00,24,OG,6,0,306,6-3,Miami (FL),6/5/1994,1,,Minnesota Vikings / 5th / 180th pick / 2017,$555000
94,Jaleel Johnson\JohnJa09,24,DT,7,1,316,6-3,Iowa,7/12/1994,1,,Minnesota Vikings / 4th / 109th pick / 2017,$555000
96,Tom Johnson\JohnTo01,34,DT,4,0,288,6-3,Southern Miss,8/30/1984,7,,,$882353
61,Brett Jones\JoneBr04,27,C,7,3,312,6-2,Regina (Canada),7/29/1991,2,,,$2914000
98,Linval Joseph\JoseLi99,30,DT,6,6,329,6-4,East Carolina,10/10/1988,8,,New York Giants / 2nd / 46th pick / 2010,$1150000
27,Jayron Kearse\KearJa00,24,SS,7,0,215,6-4,Clemson,2/11/1994,2,,Minnesota Vikings / 7th / 244th pick / 2016,$630000
54,Eric Kendricks\KendEr00,26,ILB,7,7,232,6-0,UCLA,2/29/1992,3,,Minnesota Vikings / 2nd / 45th pick / 2015,$1138080
51,Hercules Mata'afa\MataHe00,23,DE,,,254,6-2,Washington St.,9/18/1995,Rook,,,$363000
47,Kevin McDermott\McDeKe00,28,LS,7,0,240,6-5,UCLA,1/12/1990,5,,,$790000
89,David Morgan\MorgDa01,25,TE,6,3,265,6-4,Texas-San Antonio,5/19/1993,2,,Minnesota Vikings / 6th / 188th pick / 2016,$630000
25,Latavius Murray\MurrLa00,28,RB,7,4,230,6-3,Central Florida,1/18/1990,5,,Oakland Raiders / 6th / 181st pick / 2013,$3650000
72,Storm Norton\NortSt00,24,OT,,,306,6-8,Toledo,5/16/1994,Rook,,,$129200
75,Brian O'Neill\ONeiBr00,23,OT,6,2,297,6-6,Pittsburgh,9/15/1995,Rook,,Minnesota Vikings / 2nd / 62nd pick / 2018,$480000
87,Jabari Price\PricJa00,25,CB,,,249,6-4,North Carolina,7/19/1993,4,,Minnesota Vikings / 7th / 225th pick / 2014,$363000
71,Riley Reiff\ReifRi00,30,OT,5,5,305,6-6,Iowa,12/1/1988,6,,Detroit Lions / 1st / 23rd pick / 2012,$9100000
74,Mike Remmers\RemmMi00,29,T,7,7,310,6-5,Oregon St.,4/11/1989,6,,,$3900000
29,Xavier Rhodes\RhodXa00,28,CB,7,7,218,6-1,Florida St.,6/19/1990,5,,Minnesota Vikings / 1st / 25th pick / 2013,$10400000
93,Sheldon Richardson\RichSh00,28,DT,7,7,295,6-3,Missouri,11/29/1990,5,,New York Jets / 1st / 13th pick / 2013,$5800000
17,Aldrick Robinson\RobiAl00,30,WR,5,0,187,5-10,SMU,9/24/1988,7,,Washington Redskins / 6th / 178th pick / 2011,$697059
82,Kyle Rudolph\RudoKy00,29,TE,7,7,265,6-6,Notre Dame,11/9/1989,7,,Minnesota Vikings / 2nd / 43rd pick / 2011,$6025000
34,Andrew Sendejo\SendAn00,31,DB,5,5,210,6-1,Rice,9/9/1987,8,,,$3450000
35,Marcus Sherels\SherMa20,31,DB,4,0,175,5-10,Minnesota,9/30/1987,8,,,$1050000
3,Trevor Siemian\SiemTr00,27,QB,,,220,6-3,Northwestern,12/26/1991,3,,Denver Broncos / 7th / 250th pick / 2015,$1907000
1,Kyle Sloter\SlotKy00,24,QB,,,218,6-4,Southern MissNorthern Colorado,2/7/1994,Rook,,,$555000
22,Harrison Smith\SmitHa00,29,FS,7,7,214,6-2,Notre Dame,2/2/1989,6,,Minnesota Vikings / 1st / 29th pick / 2012,$7650000
48,Johnny Stanton\StanJo02,24,FB,,,250,6-2,,9/7/1994,Rook,,,$363000
19,Adam Thielen\ThieAd00,28,WR,7,7,200,6-2,Minnesota St.,8/22/1990,5,,,$3850000
32,Roc Thomas\ThomRo05,23,RB,4,0,198,5-11,,9/2/1995,Rook,,,$480000
11,Laquon Treadwell\TreaLa00,23,WR,7,3,215,6-2,Mississippi,6/14/1995,2,,Minnesota Vikings / 1st / 23rd pick / 2016,$1353180
26,Trae Waynes\WaynTr00,26,CB,6,6,190,6-0,Michigan St.,7/25/1992,3,,Minnesota Vikings / 1st / 11th pick / 2015,$2200142
91,Stephen Weatherly\WeatSt00,24,OLB,7,5,265,6-5,Vanderbilt,3/19/1994,2,,Minnesota Vikings / 7th / 227th pick / 2016,$630000
6,Matt Wile\WileMa01,26,P,7,0,215,6-2,Michigan,6/20/1992,2,,,$555000
50,Eric Wilson\WilsEr00,24,ILB,7,0,230,6-1,Cincinnati,9/26/1994,1,,,$555000
15,Brandon Zylstra\ZylsBr00,25,WR,7,0,220,6-3,,3/25/1993,Rook,,,$480000
,Team Total,26.1,,7,,243.2,6-2.3,,,3.1,,,
