No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
28,E.J. Gaines\GainE.00,26,CB,5,2,191,5-10,Missouri,2/23/1992,4,,St. Louis Rams / 6th / 188th pick / 2014,$1750000
95,Myles Garrett\GarrMy00,23,DE,7,7,272,6-4,Texas A&M,12/29/1995,1,,Cleveland Browns / 1st / 1st pick / 2017,$1847375
69,Desmond Harrison\HarrDe05,25,OL,7,7,295,6-6,,10/8/1993,Rook,,,$480000
81,Rashard Higgins\HiggRa00,24,WR,5,1,198,6-1,Colorado St.,10/7/1994,2,,Cleveland Browns / 5th / 172nd pick / 2016,$630000
25,Dontrell Hilliard\HillDo00,23,RB,2,0,202,5-11,Tulane,2/26/1995,Rook,,,$129200
59,D'Juan Hines\HineDJ00,24,LB,4,0,235,6-1,,9/13/1994,Rook,,,$423529
74,Chris Hubbard\HubbCh00,27,G,7,7,295,6-4,Ala-Birmingham,4/23/1991,5,,,$2500000
47,Charley Hughlett\HughCh01,28,LS,7,0,248,6-4,Central Florida,5/16/1990,4,,,$705000
29,Duke Johnson\JohnDu00,25,RB,7,1,210,5-9,Miami (FL),9/23/1993,3,,Cleveland Browns / 3rd / 77th pick / 2015,$957000
91,Lenny Jones\JoneLe00,27,DE,,,256,6-2,,8/8/1991,Rook,,,$363000
17,Greg Joseph\JoseGr00,24,K,5,0,208,6-0,,8/4/1994,Rook,,,$423529
26,Derrick Kindred\KindDe00,25,SS,7,1,210,5-10,TCU,12/15/1993,2,,Cleveland Browns / 4th / 129th pick / 2016,$630000
58,Christian Kirksey\KirkCh00,26,OLB,5,5,235,6-2,Iowa,8/31/1992,4,,Cleveland Browns / 3rd / 71st pick / 2014,$5000000
80,Jarvis Landry\LandJa00,26,WR,7,6,206,5-11,LSU,11/28/1992,4,,Miami Dolphins / 2nd / 63rd pick / 2014,$3500000
15,Ricardo Louis\LouiRi00,24,WR,,,215,6-2,Auburn,3/23/1994,2,,Cleveland Browns / 4th / 114th pick / 2016,$393000
6,Baker Mayfield\MayfBa00,23,QB,5,4,215,6-1,Oklahoma,4/14/1995,Rook,,Cleveland Browns / 1st / 1st pick / 2018,$480000
39,Terrance Mitchell\MitcTe00,26,CB,4,4,191,5-11,Oregon,5/17/1992,4,,Dallas Cowboys / 7th / 254th pick / 2014,$1500000
85,David Njoku\NjokDa00,22,TE,7,6,246,6-4,Miami (FL),7/10/1996,1,,Cleveland Browns / 1st / 29th pick / 2017,$897959
90,Emmanuel Ogbah\OgbaEm00,25,DE,5,5,275,6-4,Oklahoma St.,11/6/1993,2,,Cleveland Browns / 2nd / 32nd pick / 2016,$1050876
65,Larry Ogunjobi\OgunLa00,24,DT,7,7,305,6-3,Charlotte,6/3/1994,1,,Cleveland Browns / 3rd / 65th pick / 2017,$642500
22,Jabrill Peppers\PeppJa00,23,SS,7,7,213,5-11,Michigan,10/4/1995,1,,Cleveland Browns / 1st / 25th pick / 2017,$935090
19,Breshad Perriman\PerrBr02,25,WR,1,0,211,6-2,Central Florida,9/10/1993,2,,Baltimore Ravens / 1st / 26th pick / 2015,$497647
79,Brian Price\PricBr00,24,DT,3,0,322,6-3,Texas-San Antonio,6/24/1994,2,,,$481765
23,Damarious Randall\RandDa00,26,FS,7,7,196,5-11,Arizona St.,8/29/1992,3,,Green Bay Packers / 1st / 30th pick / 2015,$1090381
18,Damion Ratley\RatlDa00,23,WR,4,2,200,6-2,Texas A&M,4/16/1995,Rook,,Cleveland Browns / 6th / 175th pick / 2018,$480000
37,Denzel Rice\RiceDe00,25,DB,6,0,185,6-0,Coastal Carolina,3/31/1993,3,,,$630000
73,Greg Robinson\RobiGr01,26,OT,7,0,330,6-5,Auburn,10/21/1992,4,,St. Louis Rams / 1st / 2nd pick / 2014,$790000
53,Joe Schobert\SchoJo00,25,OLB,6,6,245,6-1,Wisconsin,11/6/1993,2,,Cleveland Browns / 4th / 99th pick / 2016,$630000
10,Da'Mari Scott\ScotDa02,23,WR,,,205,6-0,,8/8/1995,Rook,,,$129200
50,Chris Smith\SmitCh03,26,DE,7,2,266,6-1,Arkansas,2/11/1992,4,,Jacksonville Jaguars / 5th / 159th pick / 2014,$1000000
9,Drew Stanton\StanDr00,34,QB,,,226,6-3,Michigan St.,5/7/1984,10,,Detroit Lions / 2nd / 43rd pick / 2007,$1150000
13,Rod Streater\StreRo00,30,WR,3,0,195,6-2,Temple,2/9/1988,6,,,$697065
5,Tyrod Taylor\TaylTy00,29,QB,3,3,210,6-1,Virginia Tech,8/3/1989,7,,Baltimore Ravens / 6th / 180th pick / 2011,$10000000
92,Chad Thomas\ThomCh06,23,DE,3,0,278,6-5,Miami (FL),10/12/1995,Rook,,Cleveland Browns / 3rd / 67th pick / 2018,$480000
27,Tavierre Thomas\ThomTa01,22,DB,4,0,205,5-10,Ferris St.,3/11/1996,Rook,,,$480000
64,J.C. Tretter\TretJC00,27,OG,7,7,307,6-4,Cornell,2/12/1991,5,,Green Bay Packers / 4th / 122nd pick / 2013,$5000000
40,Tanner Vallejo\VallTa00,24,ILB,6,0,230,6-1,Boise St.,12/16/1994,1,,Buffalo Bills / 6th / 195th pick / 2017,$555000
1,Denzel Ward\WardDe02,21,CB,7,6,190,5-11,Ohio St.,4/28/1997,Rook,,Cleveland Browns / 1st / 4th pick / 2018,$480000
71,Earl Watford\WatfEa00,28,OG,4,0,300,6-3,James Madison,6/24/1990,5,,Arizona Cardinals / 4th / 116th pick / 2013,$790000
84,Derrick Willies\WillDe06,24,WR,5,0,207,6-4,,10/12/1994,Rook,,,$480000
24,Howard Wilson\WilsHo00,23,CB,,,184,6-1,Houston,10/30/1995,Rook,,Cleveland Browns / 4th / 126th pick / 2017,$378000
70,Kevin Zeitler\ZeitKe00,28,G,7,7,315,6-4,Wisconsin,3/8/1990,6,,Cincinnati Bengals / 1st / 27th pick / 2012,$10000000
97,Anthony Zettel\ZettAn00,26,DE,6,0,275,6-4,Penn St.,8/9/1992,2,,Detroit Lions / 6th / 202nd pick / 2016,$630000
,Team Total,25.3,,7,,241.6,6-1.6,,,2.6,,,
